response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0461,0.0397,0.0005,0.0001,0.0061,0.0001,200,0.0002
0.0456,0.0396,0.0003,0.0001,0.0056,0.0001,200,0.0002
0.0460,0.0399,0.0005,0.0001,0.0057,0.0001,200,0.0003
0.0460,0.0398,0.0004,0.0001,0.0060,0.0002,200,0.0003
0.0454,0.0396,0.0003,0.0001,0.0055,0.0001,200,0.0003
0.0454,0.0399,0.0004,0.0001,0.0052,0.0002,200,0.0003
0.0462,0.0398,0.0004,0.0001,0.0061,0.0002,200,0.0003
0.0457,0.0396,0.0003,0.0001,0.0058,0.0001,200,0.0002
0.0457,0.0396,0.0004,0.0001,0.0058,0.0002,200,0.0002
0.0462,0.0398,0.0005,0.0001,0.0060,0.0001,200,0.0003
0.0454,0.0402,0.0004,0.0001,0.0049,0.0002,200,0.0002
0.0457,0.0395,0.0003,0.0001,0.0058,0.0002,200,0.0002
0.0315,0.0255,0.0005,0.0001,0.0055,0.0002,200,0.0003
0.0459,0.0395,0.0004,0.0001,0.0061,0.0002,200,0.0003
0.0454,0.0397,0.0003,0.0001,0.0054,0.0001,200,0.0003
0.0453,0.0392,0.0003,0.0001,0.0057,0.0002,200,0.0002
0.0459,0.0398,0.0005,0.0001,0.0058,0.0001,200,0.0003
0.0460,0.0397,0.0003,0.0001,0.0060,0.0001,200,0.0003
0.0465,0.0399,0.0005,0.0001,0.0061,0.0002,200,0.0003
0.0465,0.0405,0.0005,0.0001,0.0058,0.0001,200,0.0003
0.0452,0.0395,0.0005,0.0001,0.0054,0.0001,200,0.0002
0.0448,0.0388,0.0002,0.0001,0.0058,0.0001,200,0.0002
0.0350,0.0299,0.0003,0.0001,0.0049,0.0001,200,0.0002
0.0466,0.0404,0.0003,0.0001,0.0059,0.0002,200,0.0002
0.0449,0.0393,0.0004,0.0001,0.0053,0.0001,200,0.0002
0.0458,0.0397,0.0005,0.0001,0.0058,0.0001,200,0.0003
0.0465,0.0396,0.0005,0.0001,0.0065,0.0001,200,0.0003
0.0460,0.0395,0.0004,0.0001,0.0062,0.0002,200,0.0002
0.0449,0.0393,0.0004,0.0001,0.0054,0.0001,200,0.0002
0.0453,0.0394,0.0003,0.0001,0.0055,0.0001,200,0.0002
0.0453,0.0394,0.0003,0.0001,0.0056,0.0001,200,0.0002
0.0450,0.0395,0.0003,0.0001,0.0053,0.0001,200,0.0002
0.0469,0.0398,0.0004,0.0001,0.0068,0.0001,200,0.0003
0.0465,0.0405,0.0004,0.0001,0.0057,0.0001,200,0.0003
0.0455,0.0398,0.0004,0.0001,0.0054,0.0001,200,0.0003
0.0459,0.0397,0.0004,0.0001,0.0059,0.0001,200,0.0003
0.0456,0.0400,0.0005,0.0001,0.0053,0.0001,200,0.0003
0.0451,0.0394,0.0004,0.0001,0.0054,0.0001,200,0.0003
0.0460,0.0399,0.0005,0.0001,0.0059,0.0001,200,0.0003
0.0454,0.0400,0.0004,0.0001,0.0051,0.0001,200,0.0003
0.0474,0.0409,0.0004,0.0001,0.0063,0.0001,200,0.0003
0.0454,0.0393,0.0003,0.0001,0.0058,0.0001,200,0.0002
0.0461,0.0398,0.0004,0.0001,0.0059,0.0001,200,0.0003
0.0458,0.0396,0.0003,0.0002,0.0058,0.0002,200,0.0002
0.0450,0.0390,0.0002,0.0001,0.0058,0.0001,200,0.0002
0.0453,0.0392,0.0003,0.0001,0.0058,0.0001,200,0.0002
0.0460,0.0393,0.0002,0.0001,0.0064,0.0001,200,0.0002
0.0464,0.0407,0.0004,0.0001,0.0054,0.0001,200,0.0002
0.0473,0.0411,0.0004,0.0001,0.0059,0.0001,200,0.0002
0.0470,0.0405,0.0004,0.0001,0.0061,0.0002,200,0.0002
0.0504,0.0441,0.0005,0.0001,0.0060,0.0001,200,0.0002
0.0468,0.0413,0.0005,0.0001,0.0051,0.0001,200,0.0003
0.0455,0.0396,0.0004,0.0001,0.0056,0.0002,200,0.0003
