response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0456,0.0410,0.0004,0.0001,0.0043,0.0001,200,0.0002
0.0448,0.0405,0.0003,0.0001,0.0040,0.0001,200,0.0002
0.0453,0.0406,0.0002,0.0001,0.0044,0.0001,200,0.0002
0.0455,0.0410,0.0004,0.0001,0.0042,0.0001,200,0.0002
0.0457,0.0409,0.0004,0.0001,0.0045,0.0001,200,0.0003
0.0448,0.0403,0.0004,0.0001,0.0042,0.0001,200,0.0003
0.0456,0.0411,0.0004,0.0001,0.0043,0.0001,200,0.0003
0.0425,0.0378,0.0004,0.0001,0.0044,0.0001,200,0.0003
0.0449,0.0404,0.0003,0.0001,0.0042,0.0001,200,0.0002
0.0443,0.0401,0.0003,0.0001,0.0041,0.0001,200,0.0002
0.0452,0.0406,0.0004,0.0001,0.0043,0.0001,200,0.0002
0.0452,0.0407,0.0004,0.0001,0.0042,0.0001,200,0.0003
0.0456,0.0410,0.0004,0.0001,0.0043,0.0001,200,0.0003
0.0455,0.0409,0.0005,0.0001,0.0042,0.0002,200,0.0003
0.0455,0.0409,0.0004,0.0001,0.0043,0.0001,200,0.0002
0.0451,0.0406,0.0003,0.0001,0.0042,0.0001,200,0.0002
0.0456,0.0408,0.0005,0.0001,0.0043,0.0002,200,0.0003
0.0453,0.0406,0.0004,0.0001,0.0044,0.0002,200,0.0003
0.0457,0.0409,0.0002,0.0001,0.0045,0.0001,200,0.0002
0.0453,0.0408,0.0003,0.0001,0.0042,0.0001,200,0.0002
0.0453,0.0406,0.0003,0.0001,0.0044,0.0002,200,0.0002
0.0500,0.0452,0.0003,0.0001,0.0045,0.0001,200,0.0002
0.0384,0.0344,0.0004,0.0001,0.0036,0.0001,200,0.0002
0.0451,0.0405,0.0003,0.0001,0.0042,0.0002,200,0.0002
0.0451,0.0405,0.0003,0.0001,0.0042,0.0002,200,0.0002
0.0454,0.0408,0.0005,0.0001,0.0042,0.0001,200,0.0003
0.0450,0.0405,0.0002,0.0001,0.0043,0.0001,200,0.0002
0.0456,0.0410,0.0004,0.0001,0.0043,0.0001,200,0.0003
0.0449,0.0402,0.0002,0.0001,0.0044,0.0001,200,0.0002
0.0455,0.0410,0.0004,0.0001,0.0043,0.0001,200,0.0002
0.0454,0.0407,0.0004,0.0001,0.0044,0.0002,200,0.0002
0.0456,0.0409,0.0005,0.0001,0.0044,0.0001,200,0.0003
0.0259,0.0219,0.0004,0.0001,0.0037,0.0001,200,0.0002
0.0454,0.0409,0.0004,0.0001,0.0043,0.0001,200,0.0002
0.0451,0.0403,0.0003,0.0001,0.0045,0.0001,200,0.0002
0.0458,0.0413,0.0005,0.0001,0.0042,0.0001,200,0.0003
0.0452,0.0408,0.0004,0.0001,0.0042,0.0001,200,0.0002
0.0456,0.0408,0.0004,0.0001,0.0045,0.0001,200,0.0003
0.0452,0.0406,0.0004,0.0001,0.0043,0.0001,200,0.0003
0.0449,0.0404,0.0004,0.0001,0.0042,0.0001,200,0.0003
0.0454,0.0406,0.0004,0.0001,0.0045,0.0001,200,0.0003
0.0454,0.0409,0.0004,0.0001,0.0042,0.0002,200,0.0002
0.0460,0.0412,0.0005,0.0001,0.0044,0.0002,200,0.0003
0.0457,0.0411,0.0003,0.0001,0.0044,0.0001,200,0.0002
0.0455,0.0408,0.0004,0.0001,0.0044,0.0002,200,0.0002
0.0453,0.0408,0.0003,0.0001,0.0042,0.0001,200,0.0002
0.0410,0.0368,0.0004,0.0001,0.0040,0.0001,200,0.0003
0.0454,0.0408,0.0004,0.0001,0.0043,0.0001,200,0.0003
0.0456,0.0409,0.0005,0.0001,0.0043,0.0001,200,0.0003
0.0457,0.0411,0.0005,0.0001,0.0042,0.0002,200,0.0003
0.0456,0.0409,0.0003,0.0001,0.0045,0.0001,200,0.0002
0.0454,0.0407,0.0003,0.0001,0.0044,0.0001,200,0.0002
0.0461,0.0413,0.0004,0.0001,0.0044,0.0001,200,0.0003
0.0455,0.0409,0.0005,0.0001,0.0043,0.0001,200,0.0003
0.0448,0.0402,0.0002,0.0001,0.0044,0.0001,200,0.0002
0.0449,0.0402,0.0004,0.0001,0.0043,0.0001,200,0.0003
0.0456,0.0410,0.0005,0.0001,0.0043,0.0001,200,0.0002
